id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34517,6,Fiesta Liquor #3,3,,"African, Ethiopian, Vegetarian, Alcohol, Liquor Stores, Drinks, Wine",$,29.57432,-98.51521,14415 Blanco Road, San Antonio, TX,78248
34518,5,Squeezers Juice Bar,5,11,"Black-owned, Juice and Smoothies, African, Healthy, Allergy Friendly",,29.441,-98.48547,914 East Elmira Street, San Antonio, TX,78212
34520,76,Spinster Sisters Co. (427 Lombrano St),,,"Home &amp; Personal Care, Everyday Essentials, Alcohol",$,29.44191,-98.51055,427 Lombrano St, San Antonio, TX,78207
34521,194,Yaya's Thai Fusion,,,"Thai, Asian, Noodles",$,29.480652,-98.6079078,5819 Northwest Loop 410, San Antonio, TX,78238
34522,192,Willie's Grill &amp; Icehouse (7911 Interstate),4.5,92,"American, Burgers, Family Friendly, Wings, Alcohol",$,29.3500662,-98.5376722,7911 Interstate 35 Access Rd, San Antonio, TX,78224
34524,206,Pho Thien An,,,"Pho, Thai",$,29.5165683,-98.4951362,126 W Rector, San Antonio, TX,78216
34525,58,Wicked Panda,,,"Asian Fusion, Snacks, Wings",$,29.50998901,-98.37561373,5616 walzem rd, San Antonio, TX,78218
34526,1,The Roo Pub,,,Modern Australian,$$,29.6215669,-98.4624877,19314 US-281, San Antonio, TX,78259
34527,190,McDonald's® (1643 Pleasanton Road),4.2,167,"American, Fast Food, Burgers",$,29.3661261,-98.5045879,1643 Pleasanton Rd, San Antonio, TX,78221
34529,164,NOSH Kitchen ,,,"Burgers, American, Sandwiches",$,29.60736,-98.50146,434 North Loop 1604 West, San Antonio, TX,78232
34531,287,Copal Comida Mexicana &amp; Bar,,,"Mexican, Burgers, Steak",$,29.4813992,-98.5983586,5720 Bandera Rd, San Antonio, TX,78238
34532,284,Casasol Mexican restaurant  ,,,"Mexican, Latin American, New Mexican",,29.53006,-98.49549,9938 San Pedro Avenue, San Antonio, TX,78216
34533,57,Pokeman Sushi Bowl LLC,,,"Japanese, Hawaiian, Exclusive to Eats",$,29.45184,-98.46923,223 Brackenridge Ave, San Antonio, TX,78209
34534,55,Poke Planet,,,Hawaiian,$$,29.5020338,-98.5754882,7302 Louis Pasteur Dr., San Antonio, TX,78229
34535,46,Southern Grit,,,"Sandwiches, South American",,29.45726,-98.47001,3303 Broadway, San Antonio, TX,78209
34536,38,Halcyon,,,"Sandwich, Breakfast and Brunch",$,29.4098191,-98.495428,1414 S Alamo St, San Antonio, TX,78210
34537,35,Asian Vegan,4.7,77,"Asian Fusion, Vegan, Vegetarian, South East Asian, Gluten Free",,29.5326,-98.52164,2177 Northwest Military Highway, San Antonio, TX,78231
34538,283,The Barn Door,,,"American, Seafood, Steak, Exclusive to Eats",$,29.51246,-98.4595,8400 North New Braunfels Ave, San Antonio, TX,78209
34539,280,Las Chiladas,,,"Seafood, American, Southern",$,29.54472,-98.52919,2387 NW Military Hwy, San Antonio, TX,78213
34540,278,Pueblo Viejo,,,"Mexican, Latin American, New Mexican",$,29.4450681,-98.4915367,1626 McCullough Ave, San Antonio, TX,78212
34541,277,Millano Risorante Ital,,,"Italian, Pasta, Comfort Food",$,29.62896,-98.49591,19239 Stone Oak Pkwy, San Antonio, TX,78258
34543,265,Tata’s Tacos,4.3,17,"Mexican, Latin American, New Mexican, Tacos",,29.47469,-98.52571,1400 West Avenue, San Antonio, TX,78201
34544,227,El Golfo De Mexico,,,"Mexican, Latin American, New Mexican",$$,29.48803,-98.51913,2034 Basse Road, San Antonio, TX,78201
34545,222,Noel's Nachos,,,"Mexican, American, Fast Food, Desserts",,29.38656,-98.55009,2110 Cupples Road, San Antonio, TX,78226
34546,221,La Fonda (Alamo Height),,,"Italian, Pasta, Comfort Food",$$,29.5149696,-98.4612309,8633 Crownhill Blvd, San Antonio, TX,78209
34547,215,The Philly Cheesesteak Company (1011 N Loop 1604 E),3.9,41,"American, Sandwiches, Desserts",$,29.61114,-98.47781,1011 N Loop 1604 E, San Antonio, TX,78232
34548,201,Shawarmatee,4.7,48,"Mediterranean, Chicken, Falafel, Middle Eastern",,29.52846,-98.57586479,9523 Fredericksburg RD, San Antonio, TX,78240
34549,183,Stone Werks Big Rock Grille (Basse Rd),,,"Pizza, American, Italian",$$,29.4974544,-98.4671666,999 E Basse Rd, San Antonio, TX,78209
34551,171,Zito's Delicatessen &amp; Sandwich Shop (8800 Broadway Street),4.8,11,"Sandwiches, American, Healthy",$$,29.52026,-98.46073,8800 Broadway St, San Antonio, TX,78217
34552,160,"Nachos Muchachos (427 Lombrano St,)",3.2,33,"American, Mexican, Snacks",$$,29.44191,-98.51055,427 Lombrano St, San Antonio, TX,78207
34553,145,Sonic (6608 Fm 78),4.2,37,"Sandwich, Fast Food, burger, Hot Dog, American",$$,29.48178,-98.35766,6608 Fm 78, San Antonio, TX,78244
34554,122,Wild Wing Station (Walzem Road),,,"Wings, American, Fast Food",$$,29.50982,-98.38128,5502 Walzem Road, San Antonio, TX,78218
34555,109,Golden Meals,4.7,88,"Mediterranean, Greek, Vegetarian",,29.45865,-98.46809,3500 Broadway, San Antonio, TX,78209
34556,92,Jamaica Jamaica Cuisine,,,"Caribbean, Seafood, Latin American",$$,29.50237,-98.41699,2026 Austin Hwy, San Antonio, TX,78218
34557,81,Cristan's Tacos,,,"Mexican, Latin American, New Mexican",$$,29.50943,-98.37989,8054 Midcrown Drive, San Antonio, TX,78218
34558,78,El Pilon Sabor Boriqua,4.8,73,Puerto Rican,$,29.4698051,-98.4386455,1127 Harry Wurzbach Rd, San Antonio, TX,78209
34559,74,54th Street Restaurant &amp; Drafthouse - (Rector),4.6,153,"Burgers, American, Sandwiches, Family Meals",$,29.5164891,-98.4788928,954 East Rector Street, San Antonio, TX,78216
34561,56,La Madeleine Country French Cafe (4820 Broadway),4.7,146,"European, French, Pasta",$,29.4709494,-98.4628797,4820 Broadway, San Antonio, TX,78209
34562,27,El Jarro De Arturo,4.8,24,"Salads, Chicken, Pasta, Family Meals, Healthy",$$,29.5650087,-98.4840888,13421 San Pedro Ave, San Antonio, TX,78216
34563,216,Bun 'N Barrel (1150 Austin Hwy),,,"BBQ, American, Burgers",$,29.48689,-98.44762,1150 Austin Hwy, San Antonio, TX,78209
34564,214,Tee’s ribs,,,"BBQ, American, Burgers",,29.51387,-98.43189,1946 Northeast Loop 410, San Antonio, TX,78217
34566,212,Ed's Smok-N-Q,,,"BBQ, American, Burgers",$,29.4167521,-98.405066,902 S Ww White Rd, San Antonio, TX,78220
34567,210,Big Mama's Taste of Soul,,,"American, Burgers, Soul Food, Seafood, Comfort Food",,29.5092,-98.37622,5616 Walzem Road, San Antonio, TX,78218
34568,208,Mr. A Ok's Kitchen,,,"BBQ, American, Burgers",$$,29.50885,-98.37964,5532 Walzem Road, San Antonio, TX,78218
34569,206,The Smokehouse,4.4,49,"BBQ, American, Burgers",$,29.3968,-98.43461,3306 Roland Rd, San Antonio, TX,78210
34570,205,Billy Bob's Bar-b-que,,,"BBQ, American, Sandwiches",,29.574386,-98.439458,3030 Thousand Oaks Drive, San Antonio, TX,78247
34571,203,Smokin Joe's of Texas,,,"BBQ, American, Burgers",$,29.5338895,-98.3789798,114 N Weidner Rd, San Antonio, TX,78233
34572,202,Burger King (1515 North New Braunfels Ave),4.1,28,"American, burger, Fast Food, Family Meals",$,29.4373236,-98.4611915,1515 North New Braunfels Ave, San Antonio, TX,78208
34573,196,Red Point Pizza,,,"Pizza, American, Italian",$,29.5785,-98.37369,15033 Nacogdoches Rd, San Antonio, TX,78247
34574,195,Tyga Bites (826 San Pedro Avenue),,,"Chicken, American, Sandwiches, Desserts",$,29.4415,-98.49891,826 San Pedro Avenue, San Antonio, TX,78212
34575,193,Backyard on Broadway,,,"Burgers, American, Sandwiches",,29.44883,-98.47519,2411 Broadway Street, San Antonio, TX,78215
34576,194,Eat A Burger,,,"Burgers, American, Sandwiches",,29.51848,-98.43108,2015 Northeast Loop 410, San Antonio, TX,78217
34577,192,BBQ Done Wright,,,"BBQ, American, Comfort Food",,29.38999,-98.52056,2432 Nogalitos Street, San Antonio, TX,78225
34578,191,The Purple Pig BBQ,,,"BBQ, American, Burgers",$,29.4997848,-98.4211392,1916 Austin Hwy, San Antonio, TX,78218
34579,190,Holy Smoke BBQ &amp; Taquitos (Camp 1604),,,"BBQ, American, Tacos",,29.59132,-98.59142,5534 North Loop 1604 West, San Antonio, TX,78249
34581,188,Backwoods BBQ &amp; Grilled Cheeses,,,"BBQ, American, Burgers, Exclusive to Eats",$,29.55085,-98.40636,12234 Nacogdoches Road, San Antonio, TX,78233
34582,187,King Lou's Soul Food &amp; BBQ,,,"Black-owned, American, Sandwich, Burgers",,29.4254176,-98.452482,2553 E Houston St, San Antonio, TX,78202
34585,185,FAT BASTARDS BBQ &amp; GRILL,,,"BBQ, American, Burgers",,29.4241,-98.4936,7530 Bandera Road, San Antonio, TX,78238
34586,181,Skywalk Sports Bar BBQ &amp; Grill,,,"BBQ, American, Wings",$,29.5334095,-98.5586601,10227 Ironside Dr, San Antonio, TX,78230
34587,180,Bella Pizza (8132 Fredericksburg Rd),,,"Pizza, American, Italian, Chicken, BBQ",$,29.51551,-98.57069,8132 Fredericksburg Rd, San Antonio, TX,78229
34589,167,Kain Na - Filipino Cuisine,,,"Comfort Food, American, Burgers",$$,29.52497,-98.41187,9323 Perrin Beitel Road, San Antonio, TX,78217
34590,160,DEE WILLIES,,,"BBQ, American, Sandwich",,29.5497,-98.37583,12130 O'Connor Road, San Antonio, TX,78233
34592,158,Applebee's (North Star),4.5,122,"American, Burgers, Salads, Healthy, Family Friendly, Comfort Food, Pasta, Sandwiches, Steak, Wings",$$,29.5210713,-98.4847806,97 Loop 410 NE., San Antonio, TX,78216
34593,154,The County Line - IH 10,4.5,36,"BBQ, American",$$,29.5374792,-98.5673484,10101 IH-10 West, San Antonio, TX,78230
34594,150,El Sabrosito Jalisco Restaurant,,,"Mexican, Latin American, New Mexican",$$,29.53382,-98.37905,118 N Weidner Rd, San Antonio, TX,78233
34595,149,Rooster's Run Shavano Park,,,"Wings, Chicken",,29.60145,-98.56197,4051 North Loop 1604 West, San Antonio, TX,78257
